type, score
replay, 0.5255195873205741
replay, 0.545619019138756
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 0.0
modified, 5.0133689839572194e-05
modified, 5.9881907308377895e-05
modified, 7.241532976827095e-05
modified, 8.216354723707665e-05
modified, 0.0002492758467023173
modified, 0.0008926581996434937
modified, 0.015462065508021391
modified, 0.0349139371657754
modified, 0.04183238636363636
modified, 0.06974014037433154
modified, 0.08812110071301248
modified, 0.15285483511586453
modified, 0.1551846590909091
modified, 0.24657559046345812
modified, 0.29471785873440287
modified, 0.5508522727272728
modified, 0.6362940062388592
